StartDateTime,UserId,CallType,disconnectType,Total_Handle_Time,Total_Hold_Time,Total_Talk_Time
48:53.9,bed34990-b428-4868-b4b3-e18e0980dedf,Inbound_Queue,peer,652.257,46.406,600.851
48:55.1,8716932b-1c67-4002-8a55-9c2b20eaca79,Inbound_Queue,client,820.343,159.3,481.043
49:04.5,5867c9ef-4b00-4c2e-8626-049028df8d80,Inbound_Queue,client,220.68,0,40.68
49:05.7,f75f5a38-3e79-4fe2-87a4-c375235ca13a,Inbound_Queue,transfer,2476.981,336.993,1959.988
49:08.6,b8b5a757-7176-499d-b93d-8feebb36c09f,Inbound_Queue,peer,518.465,13.62,383.276
49:09.2,3ada4c7f-b585-4818-9438-b4d5f9d61989,Inbound_Queue,peer,203.1,0,23.1
49:15.3,57fe1954-e706-4ac9-a693-8f0d8b5faa5d,Inbound_Queue,peer,2543.416,870.731,1492.685
49:41.7,809f8e6c-6117-4ab2-9100-d3a22f659893,Inbound_Queue,endpoint,259.906,0,79.906
49:43.1,38208d11-2452-41a2-b909-540e3c6483e1,Inbound_Queue,peer,1704.516,575.835,1063.681
50:13.1,b0996dc3-b802-443c-8596-98eca7bc63f4,Inbound_Queue,peer,373.66,0,193.66
50:16.5,7692606e-6ff5-4d86-9986-3eafe5513617,Inbound_Queue,client,1616.852,907.245,529.607
50:45.4,99154a69-2c6d-49b4-9778-d91b6cf6b66f,Inbound_Queue,peer,1068.606,0,888.606
50:55.2,eb2417e8-cb69-4cd5-a7c3-a625c808bbc8,Inbound_Queue,peer,2616.089,1511.567,924.522
51:05.2,a1f6fcd7-2e96-4af8-9c5d-047878b26aa4,Inbound_Queue,client,222.083,0,196.083
51:15.0,83182297-7f24-413b-8783-8a80d4ed30c4,Inbound_Queue,peer,3125.441,0,2945.441
51:15.5,af512203-3ea2-48d5-bbf5-e46ae915d4d8,Inbound_Queue,peer,4410.715,823.297,3407.418
51:16.2,2fdbdbbd-bf46-4ff2-a8d1-082d1edfef81,Inbound_Queue,endpoint,498.157,0,318.157
51:33.2,5a9248b8-bfd2-4326-a472-5e4ccc679ead,Inbound_Queue,peer,3121.8,1095.288,1846.512
51:35.6,81ef18e0-3c16-4534-9860-b336f2338e95,Inbound_Queue,peer,255.422,0,248.539
52:08.4,0350e824-4af2-4216-90b4-0d6d6b37b894,Inbound_Queue,peer,755.055,0,575.055
52:21.7,63bb6f93-004c-4a79-8d01-7de24f75241b,Inbound_Queue,peer,840.834,368.889,291.945
52:32.6,3ada4c7f-b585-4818-9438-b4d5f9d61989,Inbound_Queue,client,238.732,0,58.732
